,service,flag,src_bytes,dst_bytes,count,serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,Label
69040,49,9,105,147,6,0,0.17,0.33,238,0.93,0.01,0,4
56956,20,9,768,0,9,0,1,0,15,1,0,0,4
23771,19,2,0,0,278,0,0.03,0.06,9,0.04,0.07,0,0
10201,54,9,709,335,1,0,1,0,138,0.32,0.07,0.02,4
34376,14,9,8,0,1,0,1,0,154,1,0,0,1
39297,49,5,0,0,208,1,0.05,0.07,7,0.03,0.07,1,0
27687,24,9,262,7714,1,0,1,0,255,1,0,0,4
98237,49,5,0,0,289,1,0.07,0.06,19,0.07,0.07,1,0
30546,60,5,0,0,4,1,0.75,0.5,44,0.21,0.02,1,0
51201,12,9,42,75,152,0,1,0,225,0.88,0.01,0,4
29275,24,9,229,2030,2,0,1,0,255,1,0,0,4
111524,12,9,44,78,128,0,1,0,254,1,0.01,0,4
122750,24,9,208,473,30,0,1,0,255,1,0,0,4
46460,24,9,237,7542,2,0,1,0,255,1,0,0,4
105302,2,5,0,0,201,1,0.08,0.05,20,0.08,0.07,1,0
18106,24,9,248,766,8,0,1,0,255,1,0,0,4
21372,20,9,740,0,2,0,1,0,6,0.14,0.09,0,4
115225,6,5,0,0,110,1,0.11,0.08,12,0.05,0.07,1,0
80460,60,2,0,0,210,0,0,0.07,1,0,0.07,0,0
48214,24,9,304,8497,12,0,1,0,255,1,0,0,4
36072,24,1,0,0,29,0,1,0,253,1,0,0,4
67227,24,9,260,2090,22,0,1,0,255,1,0,0,4
66757,15,9,1032,0,511,0,1,0,105,0.41,0.19,0,0
67128,29,5,0,0,277,1,0.07,0.06,20,0.08,0.07,1,0
63618,24,9,215,449,2,0,1,0,102,1,0,0,4
9430,65,9,78,0,14,0,0.14,0.14,18,0.07,0.01,0,4
91524,13,9,6,6,57,0,0.02,1,1,0.01,0.39,0,1
50905,12,9,44,75,270,0,1,0.01,254,1,0.01,0,4
84121,24,9,325,930,9,0,1,0,255,1,0,0,4
32262,20,9,7233,0,9,0,1,0,53,0.26,0.09,0,4
2807,18,9,8,222,1,0,1,0,13,0.05,0.02,0,4
115127,24,9,186,19509,2,0,1,0,255,1,0,0,4
72481,44,9,516,4,339,0,1,0,255,1,0,0,4
83069,24,9,281,417,6,0,1,0,255,1,0,0,4
104552,20,9,5558,0,11,0,1,0,78,0.49,0.08,0,4
17078,49,1,0,0,394,0,0,0.52,1,0,0.52,0,1
1176,12,9,45,45,48,0,1,0,255,1,0,0,4
97058,24,1,0,0,1,0,1,0,130,1,0,0,4
9187,20,9,641,0,2,0,1,0,56,0.1,0.16,0.03,4
43566,16,1,0,0,116,0,0.06,0.06,7,0.03,0.07,0,0
110941,8,5,0,0,220,1,0.07,0.06,16,0.06,0.07,1,0
112517,24,9,285,266,10,0,1,0,255,1,0,0,4
111225,49,5,0,0,147,1,0.12,0.07,18,0.07,0.07,1,0
35784,14,9,8,0,1,0,1,0,144,1,0,0,1
72039,24,9,214,961,13,0,1,0,255,1,0,0,4
17471,12,9,45,136,65,0,0.98,0.03,190,0.75,0.02,0,4
20667,24,9,213,1116,54,0,1,0,255,1,0,0,4
7215,54,9,1809,325,1,0,1,0,90,0.81,0.25,0,4
9214,49,5,0,0,28,1,0.14,0.21,12,0.05,0.08,1,0
124773,49,5,0,0,99,1,0.15,0.06,4,0.02,0.07,1,0
84233,56,5,0,0,266,1,0.07,0.05,19,0.07,0.05,1,0
115322,24,9,162,4937,2,0,1,0,255,1,0,0,4
201,30,5,0,0,143,1,0.1,0.06,14,0.05,0.06,1,0
35015,49,1,0,0,459,0.05,0,1,1,0,1,0.08,1
96672,24,9,212,1227,3,0,1,0,81,1,0,0,4
57686,20,9,190,0,2,0,1,0,2,0.01,0.6,0,4
88879,34,5,0,0,104,1,0.19,0.06,20,0.08,0.07,1,0
68720,26,5,0,0,121,1,0.02,0.07,2,0.01,0.07,1,0
71684,24,9,226,943,8,0,1,0,255,1,0,0.07,4
44058,49,5,0,0,111,1,0.08,0.07,9,0.04,0.08,1,0
90823,17,5,0,0,142,1,0.1,0.06,14,0.05,0.06,1,0
89554,6,4,0,0,1,0,1,0,1,0,0.72,0,1
117107,24,9,313,5294,4,0,1,0,255,1,0,0,4
21934,54,9,1247,332,1,0,1,0,166,0.63,0.15,0,4
12990,53,5,0,0,120,1,0.01,0.07,1,0,0.06,1,0
73759,24,9,331,3437,5,0,1,0,255,1,0,0,4
78376,24,9,153,338,2,0,1,0,255,1,0,0,4
87161,63,5,0,0,240,1,0.05,0.06,12,0.05,0.07,1,0
68204,49,9,1,0,29,0,0.1,0.1,8,0.03,0.81,0.16,1
127,54,9,1079,334,1,0,1,0,167,0.57,0.03,0,4
107663,12,9,33,93,2,0,1,0,251,0.98,0.01,0,4
8075,49,5,0,0,133,1,0.08,0.08,14,0.05,0.07,1,0
24777,24,9,307,1992,12,0,1,0,157,1,0,0,4
105806,24,9,146,391,1,0,1,0,255,1,0,0,4
103919,24,9,350,255,9,0,1,0,255,1,0,0,4
101662,7,5,0,0,260,1,0.08,0.06,20,0.08,0.07,1,0
86825,23,5,0,0,234,1,0.05,0.07,11,0.04,0.07,1,0
27674,14,9,8,0,1,0,1,0,192,1,0,0,1
110013,17,5,0,0,142,1,0.12,0.06,17,0.07,0.07,1,0
69421,20,9,4539,0,21,0,1,0,59,0.35,0.02,0,4
15122,7,1,0,0,259,0,0.04,0.07,10,0.04,0.07,0,0
105859,12,9,44,71,134,0,1,0,254,1,0.01,0,4
12734,49,5,0,0,146,1,0.12,0.06,12,0.05,0.06,1,0
6965,12,9,44,127,43,0,1,0,255,1,0,0,4
24027,24,9,325,5583,2,0,1,0,255,1,0,0,4
78396,24,9,289,3428,1,0,1,0,255,1,0,0,4
109000,49,1,0,0,122,0,0.03,0.07,12,0.05,0.07,0,0
57891,2,5,0,0,231,1,0,0.07,1,0,0.07,1,0
122904,24,9,221,1367,3,0,1,0,255,1,0,0,4
116013,14,9,30,0,1,0,1,0,5,0.02,0.01,0,4
96326,24,9,233,279,2,0,1,0,255,1,0,0,4
108293,49,1,0,0,123,0.01,0.01,1,1,0,0.49,0,1
804,54,9,1452,330,1,0,1,0,78,0.68,0.03,0.01,4
16210,16,5,0,0,510,0.2,0,1,1,0,1,0.2,1
71672,4,9,10,38,1,0,1,0,9,0.04,0.07,0,4
92369,24,9,54540,8314,5,0,1,0,109,1,0,0,0
8241,24,1,0,0,1,0,1,0,255,1,0,0,4
40686,60,5,0,0,39,1,0.26,0.1,44,0.17,0.04,1,0
102134,24,9,318,2462,4,0,1,0,255,1,0,0,4
67191,60,2,0,0,275,0,0.03,0.06,8,0.03,0.07,0,0
15866,24,9,301,310,11,0,1,0,255,1,0,0,4
93881,0,4,737,9178,1,0,1,0,7,0.64,0.18,0.09,4
82440,54,9,1444,330,1,0,1,0,186,0.77,0.02,0,4
114383,49,5,0,0,205,1,0.03,0.05,6,0.02,0.05,1,0
81407,44,9,147,105,1,0,1,0,1,0,0.56,0,4
116541,15,9,1480,0,2,0,1,0,16,1,0,0,0
81702,60,9,522,8496,1,0,1,0,6,0.25,0.17,0.12,4
89442,49,9,100,0,2,0,1,0,39,0.17,0.01,0,1
67595,44,9,59,0,16,0.06,0.06,0.38,1,0.01,0.08,0.03,4
33751,14,9,8,0,1,0,1,0,97,1,0,0,1
54910,12,9,42,42,13,0,1,0,243,0.95,0.01,0,4
12579,15,9,1032,0,47,0,1,0,255,1,0,0,0
81630,12,9,46,46,213,0,1,0,250,0.98,0.01,0,4
59047,28,5,0,0,160,1,0.1,0.07,16,0.06,0.07,1,0
119060,54,9,13106,1429,1,0,1,0,137,0.5,0.01,0,4
74140,4,5,0,0,294,1,0.06,0.05,7,0.03,0.07,1,0
124230,14,9,8,0,1,0,1,0,254,0.5,1,0.5,1
84272,24,9,152,5096,2,0,1,0,255,1,0,0,4
65621,24,9,219,1357,10,0,1,0,255,1,0,0,4
22035,24,1,0,0,1,0,1,0,222,1,0,0,4
54343,24,9,389,858,2,0,1,0,255,1,0,0,4
42831,24,9,306,1694,5,0,1,0,255,1,0,0.01,4
78756,24,9,376,245,5,0,1,0,255,1,0,0,4
118836,30,5,0,0,100,1,0.11,0.07,5,0.02,0.07,1,0
81041,23,5,0,0,172,1,0.01,0.08,1,0,0.07,1,0
119351,15,9,1032,0,511,0,1,0,134,0.53,0.02,0.01,0
102896,14,9,8,0,1,0,1,0,46,1,0,0,1
78123,24,1,0,0,1,0,1,0,248,1,0,0,4
64972,24,9,328,4425,8,0,1,0,255,1,0,0,4
120059,6,1,0,0,109,0,0.08,0.06,9,0.04,0.05,0,0
50455,14,9,18,0,1,0,1,0,31,1,0,0,1
3049,49,9,1,0,11,0,1,0,11,0.04,0.95,0.13,1
12475,24,9,281,757,2,0,1,0,255,1,0,0,4
122634,24,9,354,1590,14,0,1,0,255,1,0,0,4
61188,49,1,0,0,2,0,0.5,1,1,0,0.82,0,1
43608,24,9,292,1896,3,0,1,0,255,1,0,0,4
119453,29,1,0,0,122,0,0.06,0.07,7,0.03,0.07,0,0
96283,54,9,804,330,1,0,1,0,102,0.43,0.03,0,4
103390,23,1,0,0,216,0,0,0.52,1,0,0.44,0,1
8841,14,9,8,0,1,0,1,0,74,1,0,0,1
57144,24,9,304,5419,7,0,1,0,255,1,0,0,4
68332,24,9,230,480,12,0,1,0,255,1,0,0,4
66191,12,9,41,41,150,0,1,0,254,1,0.01,0,4
17583,20,9,0,20595,1,0,1,0,125,0.55,0.03,0,4
14447,24,9,228,302,12,0,1,0,255,1,0,0,4
16815,15,9,520,0,473,0,1,0,123,1,0,0,0
886,24,1,0,0,1,0,1,0,255,1,0,0,4
10045,44,9,147,105,1,0,1,0,1,0,0.65,0,4
13938,15,9,520,0,439,0,1,0,232,1,0,0,0
12364,24,9,253,939,26,0,1,0,255,1,0,0,4
45685,0,4,744,9449,1,0,1,0,18,0.45,0.05,0.12,4
97941,24,9,234,254,8,0,1,0,255,1,0,0,4
74148,5,5,0,0,237,1,0.05,0.06,8,0.03,0.08,1,0
119417,24,9,195,40975,12,0,1,0,255,1,0,0,4
76513,24,1,0,0,1,0,1,0,253,1,0,0,4
65988,24,9,312,1274,3,0,1,0,255,1,0,0.01,4
5772,19,9,57,170,1,0,1,0,7,0.3,0.17,0,4
13915,49,5,0,0,145,1,0.08,0.06,14,0.05,0.06,1,0
97060,24,9,243,896,22,0,1,0,255,1,0,0,4
119873,15,9,1032,0,126,0,1,0,212,0.83,0.02,0,0
90924,49,5,0,0,100,1,0.03,0.1,3,0.01,0.09,1,0
54516,24,9,218,6459,1,0,1,0,255,1,0,0,4
116941,44,1,0,0,509,0.16,0,1,1,0,1,0.17,1
37604,14,9,8,0,1,0,1,0,255,1,0,0,1
8768,24,9,216,25078,3,0,1,0,254,1,0,0,4
99137,24,5,0,0,4,1,0.75,0.5,63,0.26,0.02,0.99,0
14902,49,9,1,0,54,0,0.5,0.07,93,0.36,0.06,0,1
123144,24,5,0,0,287,1,0.04,0.06,12,0.05,0.07,1,0
33559,24,9,327,2566,5,0.2,1,0,255,1,0,0.05,4
42393,30,5,0,0,139,1,0.01,0.06,1,0,0.07,1,0
104833,24,9,280,4045,10,0,1,0,215,1,0,0,4
54009,49,5,0,0,72,1,0.06,0.08,4,0.02,0.06,1,0
113340,24,9,270,10333,3,0,1,0,255,1,0,0.01,4
25725,54,5,0,0,104,1,0.23,0.06,6,0.02,0.06,1,0
77638,12,9,44,135,192,0,1,0,253,0.99,0.01,0,4
103743,24,1,0,0,1,0,1,0,166,1,0,0,4
59221,49,5,0,0,123,1,0.1,0.05,9,0.04,0.07,1,0
81960,24,9,321,13233,2,0,1,0,255,1,0,0,4
106183,54,9,790,336,1,0,1,0,145,0.48,0.02,0.01,4
88124,20,9,5133876,0,1,0,1,0,31,1,0,0,2
49072,24,9,235,2613,10,0,1,0,255,1,0,0,4
46208,24,9,343,1189,8,0,1,0,255,1,0,0,4
94909,24,9,180,13176,1,0,1,0,255,1,0,0,4
3287,24,9,181,10333,3,0.33,1,0,255,1,0,0.01,4
112403,58,5,0,0,120,1,0.12,0.07,14,0.05,0.07,1,0
42867,24,9,207,9487,29,0,1,0,255,1,0,0,4
119368,14,9,8,0,1,0,1,0,41,1,0,0,1
56419,66,5,0,0,135,1,0.04,0.06,6,0.02,0.06,1,0
44970,24,1,0,0,1,0,1,0,251,1,0,0,4
13757,49,9,105,147,3,0,0.33,1,245,0.96,0.01,0,4
53795,49,9,1,0,10,0,0.3,0.2,69,0.27,0.17,0,1
19839,54,9,755,327,1,0,1,0,121,0.47,0.01,0,4
22349,14,9,18,0,1,0,1,0,107,1,0,0,1
116897,49,1,0,0,271,0,0.03,0.06,9,0.04,0.07,0,0
124113,14,9,8,0,1,0,1,0,6,1,0,0,1
53290,49,5,0,0,24,1,0.08,0.21,2,0.01,0.09,1,0
17001,49,5,0,0,122,0.99,0.16,0.07,19,0.07,0.06,1,0
73544,20,9,16115,0,8,0,1,0,60,0.47,0.07,0,4
35459,6,5,0,0,103,1,0.07,0.06,7,0.03,0.06,1,0
69324,24,9,159,20222,1,0,1,0,255,1,0,0,4
55592,54,2,0,0,1,0,1,0,175,0.64,0.15,0.01,4
115589,30,5,0,0,101,1,0.08,0.06,20,0.08,0.07,1,0
77835,24,9,317,7384,24,0,1,0,255,1,0,0.01,4
10102,24,9,231,284,25,0,1,0,255,1,0,0,4
70006,20,9,71,0,1,0,1,0,60,0.24,0.02,0.74,4
20992,24,5,0,0,12,1,0.75,0.17,62,0.24,0.04,1,0
62326,54,9,714,483,1,0,1,0,144,0.78,0.05,0.02,4
45247,28,5,0,0,286,1,0.05,0.06,14,0.05,0.06,1,0
62459,12,9,44,110,225,0,1,0,253,0.99,0.01,0,4
74021,44,9,146,105,1,0,1,0,1,0,0.64,0,4
109483,24,9,291,2696,17,0,1,0,255,1,0,0,4
125379,54,9,821,368,1,0,1,0,122,0.59,0.03,0,4
82964,65,9,182,0,3,0,0.33,1,13,0.05,0.01,0,4
74168,24,1,0,0,10,0,1,0,174,1,0,0.01,4
74267,11,5,0,0,234,1,0.01,0.07,2,0.01,0.07,1,0
2891,12,9,46,46,5,0,0.2,0.4,111,0.96,0.02,0,4
37614,24,1,0,0,220,0,0,0.07,1,0,0.07,0,0
40087,11,5,0,0,267,1,0.03,0.06,6,0.02,0.08,1,0
20821,20,5,0,0,74,1,0.22,0.05,69,0.27,0.02,1,0
110088,14,9,8,0,1,0,1,0,93,1,0,0,1
94850,24,9,54540,8314,8,0,1,0,255,1,0,0,0
45260,24,9,302,268,1,0,1,0,255,1,0,0,4
116167,63,5,0,0,242,1,0.08,0.06,2,0.01,0.08,1,0
99335,65,9,78,0,8,0,0.25,0.25,19,0.07,0.01,0,4
62795,24,9,330,1840,7,0,1,0,255,1,0,0,4
4444,24,9,244,1088,24,0,1,0,255,1,0,0,4
39930,18,5,0,0,24,1,0.33,0.17,68,0.27,0.02,1,0
84603,24,9,299,377,9,0,1,0,255,1,0,0,4
112202,49,9,28,0,83,0,1,0,183,0.72,0.29,0.09,0
123025,49,5,0,0,104,1,0.05,0.06,4,0.08,0.1,1,0
125668,49,1,0,0,1,0,1,0,2,0.02,1,0,1
23024,14,9,8,0,1,0,1,0,32,1,0,0,1
118204,23,5,0,0,285,1,0.01,0.05,4,0.02,0.05,1,0
94818,49,5,0,0,103,1,0.03,0.07,14,0.05,0.08,1,0
115324,24,9,321,2563,7,0,1,0,255,1,0,0.05,4
16723,54,9,1340,364,1,0,1,0,105,0.65,0.02,0,4
75001,24,9,335,2648,6,0,1,0,255,1,0,0,4
79361,44,9,147,105,1,0,1,0,1,0,0.64,0,4
27212,24,9,228,2090,4,0,1,0,255,1,0,0,4
72527,12,9,43,107,6,0,1,0,249,0.98,0.01,0,4
77137,12,9,45,138,129,0,1,0,205,0.8,0.01,0,4
19078,54,9,1713,336,1,0,1,0,167,0.77,0.13,0,4
116666,60,9,1205,15071,1,0,1,0,20,0.08,0.07,0.97,4
58404,9,5,0,0,134,1,0.15,0.06,18,0.07,0.07,1,0
49260,36,1,0,0,103,0,0.19,0.07,13,0.05,0.07,0,0
87253,54,9,891,327,2,0,0.5,1,193,0.61,0.08,0,4
79695,49,1,0,0,224,0.06,0,1,1,0,0.89,0.05,1
57665,49,9,1,0,4,0,1,0,4,0.02,0.42,0.16,1
120080,24,6,236,14600,1,1,1,0,255,1,0,0,4
95418,12,9,43,129,69,0,1,0,254,1,0.01,0,4
4939,18,5,0,0,35,1,0.26,0.11,34,0.25,0.03,1,0
65594,12,9,44,117,104,0,1,0,255,1,0,0,4
27628,14,9,8,0,1,0,1,0,82,1,0,0,1
53770,49,1,0,0,213,0,0.03,0.07,7,0.03,0.07,0,0
125022,20,9,61298,0,9,0,1,0,15,0.79,0.16,0,4
97113,24,5,0,0,19,0.05,1,0,255,1,0,0.02,4
12503,20,9,637,0,7,0,1,0,107,0.42,0.02,0,4
121048,9,5,0,0,19,1,0.37,0.32,11,0.04,0.1,1,0
49808,36,5,0,0,291,1,0.03,0.05,9,0.04,0.07,1,0
22059,24,9,197,310,1,0,1,0,255,1,0,0,4
20513,12,9,42,42,1,0,1,0,43,0.93,0.07,0,4
75576,58,5,0,0,295,1,0.06,0.06,19,0.07,0.07,1,0
40915,49,5,0,0,94,1,0.05,0.06,17,0.07,0.07,1,0
44057,49,5,0,0,207,1,0.04,0.06,19,0.07,0.07,1,0
61000,11,5,0,0,274,1,0.02,0.06,20,0.08,0.08,1,0
20299,14,9,30,0,2,0,0.5,1,5,0.02,0.01,0,4
26779,49,5,0,0,130,1,0.14,0.06,32,0.13,0.07,1,0
102447,16,5,0,0,30,1,0.17,0.1,17,0.07,0.07,1,0
75387,24,9,319,1718,4,0,1,0,255,1,0,0,4
107993,49,9,28,0,99,0,1,0,99,0.39,0.04,0.02,0
63420,24,9,206,261,3,0,1,0,255,1,0,0,4
24605,42,5,0,0,127,1,0.09,0.08,6,0.02,0.08,1,0
101763,14,9,30,0,1,0,1,0,55,1,0,0,4
67731,68,5,0,0,270,1,0.02,0.06,13,0.05,0.07,1,0
80669,44,9,146,105,1,0,1,0,1,0,0.54,0,4
117083,24,9,292,7547,2,0,1,0,255,1,0,0,4
12601,24,9,217,1042,24,0,1,0,255,1,0,0,4
124587,54,9,1606,332,1,0,1,0,113,0.58,0.02,0,4
60351,49,5,0,0,97,1,0.06,0.06,12,0.05,0.07,1,0
108023,19,9,333,1072,1,0,1,0,23,0.22,0.04,0.04,4
31098,54,9,1808,387,1,0,1,0,19,0.07,0.09,0.82,4
79350,44,1,0,0,511,0.21,0,1,1,0,1,0.27,1
1656,18,5,0,0,206,1,0.03,0.06,16,0.06,0.07,1,0
41038,52,5,0,0,210,1,0.03,0.05,6,0.02,0.05,1,0
51625,49,5,0,0,268,1,0.05,0.07,13,0.05,0.06,1,0
24481,66,2,0,0,123,0,0.15,0.07,18,0.07,0.07,0,0
32362,24,1,0,0,1,0,1,0,37,1,0,0,4
64878,24,9,228,720,37,0.05,1,0,255,1,0,0,4
36505,56,5,0,0,234,1,0.07,0.05,17,0.07,0.06,1,0
26342,49,4,1,0,2,0,1,0,2,0.01,0.13,0,1
13206,54,9,926,330,1,0,1,0,36,0.58,0.04,0,4
100724,12,9,42,128,137,0,1,0,254,1,0.01,0,4
38730,49,5,0,0,298,1,0.03,0.05,9,0.04,0.07,1,0
21069,56,5,0,0,225,1,0.08,0.05,19,0.07,0.05,1,0
20591,54,9,865,400,1,0,1,0,155,0.63,0.04,0,4
71280,24,9,54540,8314,2,0,1,0,145,1,0,0,0
550,20,9,334,0,1,0,1,0,17,1,0,0,2
110828,5,5,0,0,272,1,0.02,0.05,6,0.02,0.05,1,0
26743,24,9,150,193,1,0,1,0,255,1,0,0,4
108218,14,9,8,0,1,0,1,0,58,1,0,0,1
21671,54,9,1194,391,1,0,1,0,87,0.34,0.05,0.4,4
85021,12,9,44,71,207,0,1,0,238,0.93,0.01,0,4
35355,24,1,0,0,1,0,1,0,106,1,0,0,4
25621,49,5,0,0,77,1,0.16,0.08,16,0.06,0.06,1,0
18649,24,5,0,0,292,1,0.07,0.06,19,0.07,0.05,1,0
104889,12,9,45,154,63,0,1,0,255,1,0,0,4
54342,14,9,8,0,1,0,1,0,120,1,0,0,1
41958,49,5,0,0,132,1,0.05,0.07,9,0.04,0.06,1,0
